,entropy
0,0.0
1,0.6931471805599453
2,1.0986122886681096
3,1.3862943611198906
4,1.6094379124341005
5,1.7917594692280547
6,1.945910149055313
7,2.0794415416798357
8,2.1972245773362196
9,2.3025850929940455
10,2.3978952727983707
11,2.484906649788001
12,2.4583113296830836
13,2.5400363038209806
14,2.523210952952891
15,2.599301927099795
16,2.6701198898068177
17,2.736339051105066
18,2.7255503958317213
19,2.718473401330013
20,2.6895357734679943
21,2.752191546569043
22,2.7511022893863717
23,2.8096782340777837
24,2.865235252448845
25,2.864738512190568
26,2.917047655944929
27,2.9669434861893538
28,2.9668267598925535
29,2.9504258637418848
30,2.997756703271981
31,2.9998159059644762
32,3.0447063524141167
33,3.0878475864182793
34,3.089755654065188
35,3.1308596534603352
36,3.133025247212663
37,3.1220184985197483
38,3.161213668543692
39,3.1644328169396343
40,3.2019168109245006
41,3.192731332762974
42,3.228934813557364
43,3.2325145804415243
44,3.224812604040078
45,3.210541713090483
46,3.2451989754050343
47,3.2788554809842223
48,3.311563452471115
49,3.3156454094790258
50,3.309699705227453
51,3.3144222442841142
52,3.309456834904106
53,3.3403866545578893
54,3.345323121060386
55,3.350407978403282
56,3.3799486732628914
57,3.3758500726935057
58,3.381051261590654
59,3.3719774733043653
60,3.3593322665871623
61,3.3877144261296874
62,3.3934469198220896
63,3.3992482993753774
64,3.426439174895717
65,3.4320347339034747
66,3.429879738182023
67,3.4357024492625916
68,3.433986216089963
69,3.42767180654252
70,3.4534173349923196
71,3.4786433344955174
72,3.5033684755938888
73,3.5088767844663504
74,3.4995421540124485
75,3.498424268323515
76,3.493093343312784
77,3.516903313258191
78,3.5227247586851336
79,3.5220182982532124
80,3.514169166631148
81,3.5371743810283442
82,3.543069844031967
83,3.5386940134749847
84,3.5315885966240748
85,3.553878388246175
86,3.5598550100367623
87,3.5598804172664464
88,3.5600329376027093
89,3.556531381019214
90,3.577946912692734
91,3.571820553617676
92,3.5637777145631127
93,3.5847796183457135
94,3.5908587887584025
95,3.596920960935304
96,3.6172572245742787
97,3.63728366100605
98,3.643005622940216
99,3.6434816760168163
100,3.640682976488758
101,3.6355590515853136
102,3.654921185382124
103,3.655643339543507
104,3.6746294339844
105,3.6721269547096775
106,3.690781294493184
107,3.709176719932985
108,3.7146012662862704
109,3.7152537872228013
110,3.733179537864968
111,3.7338161378348977
112,3.729277391586385
113,3.746843375892451
114,3.752125409873225
115,3.749951284168191
116,3.7457284192206703
117,3.7466704903351276
118,3.7448124981041446
119,3.739271945623075
120,3.7562337219680093
121,3.749453914511163
122,3.766190941656195
123,3.782723582644589
124,3.787965863316579
125,3.789035662879257
126,3.7942711721733966
127,3.792743844445439
128,3.808737507519076
129,3.8245447451271604
130,3.8295869716453135
131,3.830646630475013
132,3.8291924429798403
133,3.825930462228035
134,3.8413055098838713
135,3.842468166914362
136,3.8576057888956448
137,3.8562773493729656
138,3.8612291223440374
139,3.8581921310590483
140,3.8538208260502693
141,3.8685988317545448
142,3.8735250328378545
143,3.8784313774060455
144,3.892878592127653
145,3.8976799699713967
146,3.898903106108819
147,3.9001556780657216
148,3.8991562606982275
149,3.8940717542972125
150,3.8881494244976538
151,3.8857179920462843
152,3.8997143633689144
153,3.89601707234352
154,3.909850461236688
155,3.9146613534552013
156,3.9161189996362005
157,3.9154478869809153
158,3.928971818098997
159,3.930431367857823
160,3.943772119144956
161,3.939265435181893
162,3.933972488547677
163,3.9387075164866934
164,3.9402509044203664
165,3.9397652308703357
166,3.9527905516819617
167,3.952307520348582
168,3.9651751343243418
169,3.9632084532921628
170,3.9759308241115674
171,3.9885392603083556
172,3.9930222788908623
173,3.9944798158531434
174,4.006865207609908
175,4.0063619797918095
176,4.00589653900416
177,4.0040485650138695
178,4.001127735266898
179,3.999389035610149
180,3.9965877826271026
181,4.008701335408614
182,4.013137145383885
183,4.009486395691878
184,4.021422405658066
185,4.017053964665894
186,4.0214661663523446
187,4.025859874505274
188,4.027466723472746
189,4.027296094853124
190,4.0289338563540475
191,4.030581826724825
192,4.042133708603499
193,4.046447359788651
194,4.04805987874748
195,4.052351741244334
196,4.053969848381763
197,4.053881096307407
198,4.053818615743955
199,4.052518528023948
200,4.0480847261316875
201,4.045878470566538
202,4.057035418349162
203,4.054034513213717
204,4.050387543340002
205,4.061431511805731
206,4.065695152203567
207,4.065791761055797
208,4.07003985656104
209,4.071778620506647
210,4.071913054221337
211,4.070876728254849
212,4.068926949307376
213,4.079649888416074
214,4.08384693298926
215,4.094444678726958
216,4.0904983935527
217,4.09465162848421
218,4.105117991558676
219,4.106830222791689
220,4.107009978613575
221,4.117340662224427
222,4.121382326962615
223,4.121555039795136
224,4.12558181970425
225,4.123023958163626
226,4.119876640474316
227,4.123916019560894
228,4.125654346582129
229,4.125919160988029
230,4.135937909547384
231,4.13510441415433
232,4.145034822051627
233,4.143345844434723
234,4.147293991773534
235,4.146499093691763
236,4.1448791827892
237,4.142587054528598
238,4.144353744982185
239,4.142117847971542
240,4.139322994158873
241,4.149023596491565
242,4.152956448525408
243,4.1496887064298145
244,4.146009915293376
245,4.155592380092602
246,4.1595011840057055
247,4.16339479028264
248,4.165171918297217
249,4.166950893587887
250,4.176339369137403
251,4.176743188118308
252,4.176160797957734
253,4.176593324722352
254,4.1760470296253995
255,4.176507319325666
256,4.185731524430638
257,4.189526071741319
258,4.19128601959374
259,4.195059772298138
260,4.196814561455238
261,4.197273639830253
262,4.20629636544818
263,4.205787821072177
264,4.206250886189817
265,4.205017788859725
266,4.201382428549738
267,4.199579899920909
268,4.197271755482296
269,4.206158037190386
270,4.20987692697093
271,4.209480134799794
272,4.20676463683494
273,4.21554031722911
274,4.219224375518661
275,4.218122909761087
276,4.21643797524188
277,4.2182359605367665
278,4.2188160357451965
279,4.216673265864595
280,4.2163810516718465
281,4.21384297368428
282,4.222428963277226
283,4.226085612151694
284,4.227892996789403
285,4.22851190567978
286,4.227556710103668
287,4.22819672769937
288,4.225378970342023
289,4.233802335271387
290,4.237415759278818
291,4.239224256714677
292,4.239872377344277
293,4.239668270747462
294,4.2479584749912815
295,4.247751372852744
296,4.255981323598964
297,4.2550956362748416
298,4.254227096394346
299,4.2515506201368005
300,4.248570220142026
301,4.245319119284354
302,4.243985612600609
303,4.2426717353556525
304,4.250789764543893
305,4.254335075676259
306,4.256163543856325
307,4.254404290001403
308,4.252261339363712
309,4.260270037163011
310,4.263780066329922
311,4.264511727432523
312,4.272435345052578
313,4.272350477133404
314,4.271637035624046
315,4.270408260306787
316,4.268745021427531
317,4.272221241623919
318,4.274045248889625
319,4.274805783384241
320,4.272451410653491
321,4.280217080622159
322,4.283652347785863
323,4.281012067838855
324,4.278117425610968
325,4.274994059946021
326,4.282680407034428
327,4.28450743372552
328,4.292136701257688
329,4.292912757895363
330,4.289605303370667
331,4.289641478097789
332,4.28908181068613
333,4.296628399548538
334,4.30000067938887
335,4.300041181737559
336,4.2989959068751045
337,4.302357666864806
338,4.304164816000391
339,4.303635232224801
340,4.3026263328288055
341,4.310026101802205
342,4.31334957363773
343,4.315141127940081
344,4.316930722451808
345,4.317736274455352
346,4.318545512549464
347,4.3186323133819835
348,4.318149901693015
349,4.3254023397469314
350,4.32867203680232
351,4.328189565450078
352,4.328288286707252
353,4.327352638789671
354,4.326026424946221
355,4.324363530654135
356,4.322405941431277
357,4.320187315799563
358,4.321057512015627
359,4.320204295667652
360,4.327315894948666
361,4.3260694433955145
362,4.329321951254181
363,4.336372657381594
364,4.339594189489363
365,4.341375963459078
366,4.343155472295003
367,4.341590468695158
368,4.339739574934121
369,4.340612737857897
370,4.340807423263961
371,4.338726090113816
372,4.3364190629040165
373,4.336106579989016
374,4.335356368516647
375,4.337173813469557
376,4.34405377086964
377,4.344953707184346
378,4.351790810284218
379,4.352014629704083
380,4.351715690088879
381,4.350611589524215
382,4.34919286345728
383,4.348924059344897
384,4.346744806490587
385,4.353500754952083
386,4.356646327233812
387,4.358433767283262
388,4.359345126018446
389,4.3596105269080745
390,4.359366153291533
391,4.360287782148206
392,4.363407258289403
393,4.363685586773633
394,4.370303139395869
395,4.37006697810354
396,4.3694165865919965
397,4.368775792259788
398,4.367785241266148
399,4.366805908698197
400,4.364562631263034
401,4.3621451777208335
402,4.359568500946707
403,4.358333646660215
404,4.3568360864164335
405,4.363358954726134
406,4.366449692713817
407,4.364715854278049
408,4.366520825685006
